TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FESA3;54,40;1,91;21,61;2,45;1,65;33,29;23,80;11,84;10,75;9,98;0,15;0,03;2,56;6,84;-2,56;3,16;11,32;7,65;17,63;0,68;0,32;0,65;11,62;-16,62;31.326,60;22,24;2,52;0,61;4.391.270.400,00
FESA4;47,30;2,40;18,85;2,13;1,44;33,29;23,80;11,84;9,38;9,98;0,15;0,03;2,23;5,97;-2,23;3,16;11,32;7,65;17,63;0,68;0,32;0,65;11,62;-16,62;25.894.296,52;22,24;2,52;0,53;4.391.270.400,00
FHER3;14,31;;4,08;-71,45;0,40;17,49;12,13;6,69;2,25;2,76;0,52;;0,27;2,04;-0,87;1,56;-1.753,34;9,76;143,07;-0,01;1,01;1,46;-18,89;;42.412.273,12;-0,20;3,53;-0,06;772.852.025,40
FIGE3;0,00;;0,00;0,00;0,00;100,00;86,82;58,85;0,00;-0,05;-0,05;0,00;0,00;0,00;0,00;28,23;1,25;1,25;1,22;1,00;0,00;0,02;;-24,90;;98,44;1,23;0,00;0,00
FIGE4;0,00;;0,00;0,00;0,00;100,00;86,82;58,85;0,00;-0,05;-0,05;0,00;0,00;0,00;0,00;28,23;1,25;1,25;1,22;1,00;0,00;0,02;;-24,90;;98,44;1,23;0,00;0,00
FIQE3;7,75;;101,12;22,38;4,23;50,39;30,83;15,88;52,11;56,32;4,14;1,78;16,06;-122,44;-5,64;0,88;22,13;4,19;9,01;0,19;0,81;0,26;;;24.065.568,47;0,35;0,08;;2.768.587.052,32
FLEX3;0,00;;0,00;0,00;0,00;31,27;3,10;-3,79;0,00;8,37;8,37;8,35;0,00;0,00;0,00;0,90;-121,88;-4,64;7,56;0,04;0,96;1,22;9,15;;;5,07;-6,18;0,00;0,00
FLRY3;22,72;3,80;15,84;4,11;1,36;32,11;21,04;12,56;9,45;11,75;2,33;1,01;1,99;-629,24;-1,87;0,99;25,94;8,57;14,36;0,33;0,67;0,68;9,42;19,07;43.402.490,00;5,53;1,43;0,06;7.175.995.989,72
FNCN3;0,00;;0,00;0,00;0,00;100,00;-192,58;-192,58;0,00;0,00;;;0,00;0,00;0,00;;-17,39;-16,04;;0,92;0,08;0,08;-37,65;;;11,27;-1,96;0,00;0,00
FRAS3;15,11;2,43;11,91;3,23;1,18;30,12;16,24;12,06;8,85;10,31;1,46;0,53;1,44;4,84;-2,31;2,00;27,09;9,93;14,52;0,37;0,63;0,82;13,81;28,25;3.638.286,52;4,69;1,27;0,01;3.291.778.769,59
